time,Open,High,Low,Close,Volume,ema_20,ema_50,ema_200,rsi,MACD_36_72_24,MACDh_36_72_24,MACDs_36_72_24,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,atr,obv,PP,R1,R2,R3,S1,S2,S3
2024-01-22 14:00:00,35.621,35.646,35.585,35.596,2281,35.53206316215869,35.33055680508706,,59.331292157644356,,,,35.46887015725046,35.578250000000004,35.68762984274955,0.6148691560127164,0.5811392645747147,0.12019791392173391,37075.0,35.609,35.633,35.67,35.731,35.572,35.548,35.487
2024-01-22 18:00:00,35.594,35.627,35.594,35.606,271,35.53910476576263,35.34135849900522,,59.629550457899064,0.255263245341375,,,35.469169501729105,35.579150000000006,35.689130498270906,0.6182300491771179,0.6220670956311728,0.11591146158178815,37346.0,35.609,35.624,35.642,35.675000000000004,35.591,35.576,35.543
2024-01-22 22:00:00,35.603,35.718,35.57,35.652,1141,35.54985669283286,35.353540518652075,,61.00006194660582,0.2539976274887863,,,35.46796811336682,35.5801,35.69223188663318,0.6303067536807321,0.8206046119388339,0.11748643819141766,38487.0,35.64666666666667,35.723333333333336,35.79466666666667,35.942666666666675,35.57533333333333,35.498666666666665,35.35066666666666
2024-01-23 02:00:00,35.655,35.712,35.586,35.612,2137,35.55577510303925,35.36367618458729,,59.18024875878346,0.25139079636193173,,,35.4682724125826,35.5812,35.694127587417405,0.634759858674821,0.6363705747389979,0.1179036921672603,36350.0,35.63666666666666,35.68733333333333,35.76266666666667,35.88866666666667,35.56133333333332,35.51066666666666,35.384666666666654
2024-01-23 06:00:00,35.611,35.712,35.494,35.692,3106,35.5687489027498,35.37655162832897,,61.56882421938115,0.25075268509363013,,,35.47808453849843,35.5916,35.70511546150157,0.6378778223039749,0.9422305061879663,0.12280264621404544,39456.0,35.632666666666665,35.77133333333333,35.85066666666667,36.06866666666667,35.55333333333333,35.41466666666666,35.19666666666666
2024-01-23 10:00:00,35.692,35.747,35.676,35.694,2071,35.5806775786784,35.389000584080776,,61.62729781111824,0.249847569491223,,,35.47379133103759,35.59535,35.71690866896242,0.6830030830567173,0.9057711426179788,0.12027065085287673,41527.0,35.705666666666666,35.73533333333333,35.776666666666664,35.84766666666666,35.66433333333333,35.63466666666667,35.56366666666667
2024-01-23 14:00:00,35.692,35.764,35.686,35.733,2259,35.59518447594712,35.402490757254085,,62.77768197140947,0.24968444377854127,,,35.46694874539358,35.60245,35.737951254606415,0.7611906180974477,0.9817298569640572,0.11820715498508398,43786.0,35.727666666666664,35.76933333333333,35.80566666666667,35.88366666666667,35.691333333333326,35.64966666666666,35.57166666666666
2024-01-23 18:00:00,35.734,35.738,35.683,35.686,348,35.60383357347597,35.413608766773535,,60.50078420031363,0.24791172805431927,,,35.46528841161357,35.60455,35.743811588386436,0.7822684931360308,0.7924352685608604,0.11512530658340497,43438.0,35.702333333333335,35.72166666666667,35.757333333333335,35.812333333333335,35.66666666666667,35.647333333333336,35.592333333333336
2024-01-23 22:00:00,35.72,35.831,35.659,35.816,2072,35.62403989981159,35.429388815135354,,64.23789201955303,0.24937901961784803,,,35.44656629598087,35.612550000000006,35.77853370401914,0.9321641051771546,1.1128613685369508,0.11789524287124814,45510.0,35.76866666666667,35.87833333333334,35.94066666666667,36.11266666666668,35.70633333333333,35.596666666666664,35.42466666666666
2024-01-24 02:00:00,35.815,35.883,35.776,35.832,1968,35.64384562363906,35.445177489051616,,64.66647948263123,0.25078616639936513,,,35.43472874134389,35.62525,35.81577125865611,1.0695855251885222,1.0425903688080818,0.11736519222202942,47478.0,35.830333333333336,35.88466666666667,35.937333333333335,36.044333333333334,35.77766666666667,35.723333333333336,35.61633333333334
2024-01-24 06:00:00,35.828,35.832,35.62,35.676,3065,35.64690794519724,35.454229352226065,,57.64957095617268,0.24755092577977678,,,35.443352071174665,35.63164999999999,35.81994792882532,1.0569138887776917,0.6177655013963249,0.12196440994500014,44413.0,35.70933333333333,35.79866666666667,35.92133333333334,36.13333333333334,35.586666666666666,35.49733333333333,35.28533333333333
2024-01-24 10:00:00,35.679,35.722,35.57,35.582,3107,35.64072623613084,35.459239965864256,,53.97353712691507,0.24170206363878322,,,35.44295015915149,35.631449999999994,35.819949840848494,1.058053157244515,0.3688327805015584,0.12342269886217054,41306.0,35.62466666666666,35.679333333333325,35.776666666666664,35.928666666666665,35.527333333333324,35.47266666666666,35.32066666666666
2024-01-24 14:00:00,35.582,35.725,35.564,35.656,5111,35.64218088030886,35.466956045634284,,56.26065390079259,0.23793559541408627,,,35.45627831446345,35.63815,35.82002168553656,1.02065727618609,0.5490730592487081,0.12524545257408012,46417.0,35.64833333333333,35.73266666666667,35.809333333333335,35.970333333333336,35.571666666666665,35.48733333333333,35.32633333333333
2024-01-24 18:00:00,35.66,35.756,35.66,35.742,1029,35.65168746313658,35.47774208306039,,58.742523168187574,0.23641045068249156,,,35.47422129284875,35.65015,35.82607870715124,0.9869731664592897,0.7610432415701175,0.12402196319820427,47446.0,35.71933333333333,35.778666666666666,35.815333333333335,35.91133333333334,35.68266666666666,35.62333333333333,35.527333333333324
2024-01-24 22:00:00,35.74,35.8,35.711,35.752,1745,35.66124103807596,35.488497295489395,,59.02414412166456,0.23492373225941776,,,35.49271180678718,35.6621,35.83148819321283,0.9499619664171484,0.7653667835250085,0.12232609993172078,49191.0,35.754333333333335,35.79766666666667,35.843333333333334,35.93233333333333,35.70866666666667,35.665333333333336,35.57633333333334
2024-01-25 02:00:00,35.752,35.806,35.735,35.778,1613,35.67236093921158,35.49985034272511,,59.76791127582638,0.23390107760913992,,,35.508028281588274,35.6742,35.840371718411724,0.9316072590932667,0.8123275157533533,0.11984274003005753,50804.0,35.772999999999996,35.81099999999999,35.843999999999994,35.91499999999999,35.739999999999995,35.702,35.631
2024-01-25 06:00:00,35.775,35.787,35.686,35.719,2211,35.676802754524765,35.50844444693197,,57.309019737876056,0.23104106238649535,,,35.54240862425697,35.68575,35.829091375743026,0.8033535836743086,0.6159818643697504,0.11893175049981898,48593.0,35.73066666666667,35.77533333333334,35.83166666666667,35.93266666666667,35.674333333333344,35.62966666666667,35.52866666666667
